,K,dominant_g,p_template_0,p_template_1,p_template_2,p_template_3,p_template_4,p_template_5
2024-07-25,4,1,0.0,0.9945682480213294,0.005431751978670551,2.4359627151498787e-26,0.0,0.0
2024-07-26,4,1,0.0,0.9999999832435273,1.6750691337883878e-08,5.781290421331401e-12,0.0,0.0
2024-07-29,4,1,0.0,0.9999999999999065,5.308574709496687e-22,9.35183871462775e-14,0.0,0.0
2024-07-30,4,1,0.0,0.9999999999999905,3.25036404903849e-20,9.438288094762772e-15,0.0,0.0
2024-07-31,4,1,0.0,0.9999999999999764,1.9139869493812682e-20,2.3683355225300033e-14,0.0,0.0
2024-08-01,6,1,0.0,0.9999999999998352,1.7142638338428422e-17,1.6469759425894157e-13,0.0,0.0
2024-08-02,6,1,0.0,0.9999999997227239,2.7271887375931306e-10,4.557180052719769e-12,0.0,2.7159816255110576e-93
2024-08-05,6,1,0.0,0.9999999999999998,2.7269426979982375e-16,4.191345458999121e-18,0.0,0.0
2024-08-06,6,1,0.0,0.9999999999747438,2.4749860537154768e-11,5.064202261449422e-13,0.0,0.0
2024-08-07,6,1,0.0,0.999999963195285,0.0,3.68047150480972e-08,0.0,0.0
2024-08-08,5,1,0.0,0.9999999999999993,2.6706774051907975e-21,6.403686574751283e-16,0.0,0.0
2024-08-09,5,1,0.0,0.9999999938035309,0.0,6.196469005233702e-09,0.0,3.7947242257223743e-91
2024-08-12,5,1,0.0,1.0,8.95755677584926e-30,2.0809698413577904e-32,0.0,0.0
2024-08-13,5,1,0.0,1.0,1.814635458590582e-29,1.0230150375993187e-17,0.0,0.0
2024-08-14,5,1,0.0,1.0,1.0762916491464797e-34,4.155243492478952e-28,0.0,0.0
2024-08-15,5,1,0.0,0.999999999999994,6.041575305939649e-15,1.3900406685042232e-17,0.0,0.0
2024-08-16,5,1,0.0,0.9999999999999984,3.167912430849145e-21,1.6485678098811097e-15,0.0,0.0
2024-08-19,5,1,0.0,0.999999922110396,7.788960397183325e-08,3.494178573527271e-18,0.0,0.0
2024-08-20,5,1,0.0,0.9999999996627984,3.3720159919543247e-10,1.9831495617447673e-28,0.0,0.0
2024-08-21,5,1,0.0,0.999999996175561,3.8244390166327296e-09,7.897443472035909e-21,0.0,1.61797147126658e-118
2024-08-22,5,1,0.0,1.0,7.52448669103503e-23,2.1945129886743013e-74,0.0,0.0
2024-08-23,5,1,0.0,0.9999999993458105,6.541894684263927e-10,1.196155811323546e-18,0.0,0.0
2024-08-26,5,1,0.0,0.9999999999804858,2.7722826291998883e-180,1.9514188839466335e-11,0.0,0.0
2024-08-27,5,1,0.0,0.9999999989113317,1.0886682799327667e-09,7.953085612220557e-71,0.0,0.0
2024-08-28,5,1,0.0,0.9999999780284478,0.0,2.1971552274924514e-08,0.0,0.0
