,SPX,BOND,GOLD,OIL,USD
2015-10-06,0.3355001243808912,0.15876771230814032,0.42298034511202337,1.8961527890925698e-17,0.08275181819894523
2015-10-07,0.099046872598336,0.15876771230814035,0.42298034511202337,2.7337237240899907e-17,0.31920506998150033
2015-10-08,0.099046872598336,0.15876771230814035,0.42298034511202337,0.31920506998150033,2.2410397806810584e-17
2015-10-09,0.099046872598336,0.15876771230814035,0.42298034511202337,0.31920506998150033,2.2410397806810584e-17
2015-10-12,0.099046872598336,0.8049534798670177,0.09599964753464628,8.61812086377005e-18,4.811271809303845e-17
2015-10-13,0.02367972292240698,0.8049534798670177,0.0,0.17136679721057535,4.4724586304021247e-17
2015-10-14,0.02367972292240698,0.8049534798670177,0.0,0.17136679721057535,4.4724586304021247e-17
2015-10-15,0.02367972292240698,0.8049534798670177,0.0,0.17136679721057535,4.4724586304021247e-17
2015-10-16,0.02367972292240698,0.8049534798670177,0.08268846143070957,0.08867833577986582,4.324266828806015e-17
2015-10-19,0.02367972292240694,0.45350197714938634,0.08268846143070963,0.44012983849749715,0.0
2015-10-20,0.0,0.45350197714938634,0.10636818435311649,0.44012983849749715,0.0
2015-10-21,0.0,0.45350197714938634,0.10636818435311649,0.44012983849749715,0.0
2015-10-22,0.07909643394794688,0.45350197714938634,0.10636818435311649,0.35534809426501807,0.005685310284532286
2015-10-23,0.11669121769695934,0.5867983206006129,0.10636818435311646,0.0,0.19014227734931133
2015-10-26,0.11669121769695934,0.07613241450169234,0.6074775327743975,0.1996988350269509,0.0
2015-10-27,0.11669121769695934,0.07613241450169234,0.6074775327743975,0.1996988350269509,0.0
2015-10-28,0.11669121769695934,0.07613241450169234,0.6074775327743975,0.1996988350269509,0.0
2015-10-29,4.681850299493948e-17,0.07613241450169234,0.7241687504713566,0.1996988350269509,7.206327663835413e-19
2015-10-30,3.776805931934103e-17,0.0,0.7241687504713566,0.2758312495286433,4.560067218431233e-18
2015-11-02,3.776805931934103e-17,0.0,0.7241687504713566,0.2758312495286433,4.560067218431233e-18
2015-11-03,3.776805931934103e-17,0.0,0.7241687504713566,0.2758312495286433,4.560067218431233e-18
2015-11-04,0.2691618200478746,3.4152368433293396e-17,0.7241687504713568,0.006669429480768642,4.585982638388501e-18
2015-11-05,0.2691618200478746,3.4152368433293396e-17,0.7241687504713568,0.006669429480768642,4.585982638388501e-18
2015-11-06,0.05380415920345748,9.755179739295968e-17,0.9395264113157737,0.006669429480768639,0.0
2015-11-09,0.05380415920345748,9.755179739295968e-17,0.9395264113157737,0.006669429480768639,0.0
2015-11-10,0.05380415920345748,9.755179739295968e-17,0.9395264113157737,0.006669429480768639,0.0
2015-11-11,0.05380415920345748,9.755179739295968e-17,0.9395264113157737,0.006669429480768639,0.0
2015-11-12,0.05380415920345748,9.755179739295968e-17,0.9395264113157737,0.006669429480768639,0.0
2015-11-13,0.5155987784412216,1.1925404061267886e-16,0.47773179207800975,0.006669429480768665,0.0
2015-11-16,0.5155987784412215,1.1925404061267883e-16,0.47773179207800964,0.006669429480768663,0.0
2015-11-17,0.5155987784412215,1.1622647289044608e-16,0.47773179207800964,0.0,0.006669429480768821
2015-11-18,0.5155987784412215,1.1622647289044608e-16,0.47773179207800964,0.0,0.006669429480768821
2015-11-19,0.5155987784412215,1.1622647289044608e-16,0.47773179207800964,0.0,0.006669429480768821
2015-11-20,0.5155987784412215,1.1622647289044608e-16,0.47773179207800964,0.0,0.006669429480768821
2015-11-23,0.5155987784412215,1.1622647289044608e-16,0.47773179207800964,0.0,0.006669429480768821
2015-11-24,0.5155987784412215,1.1622647289044608e-16,0.47773179207800964,0.0,0.006669429480768821
2015-11-25,0.7638001844273997,1.2916913632449178e-16,0.2295303860918313,2.5261910618912253e-17,0.0066694294807688485
2015-11-27,0.7638001844273997,1.2916913632449178e-16,0.2295303860918313,2.5261910618912253e-17,0.0066694294807688485
2015-11-30,0.7638001844273997,1.2916913632449178e-16,0.2295303860918313,2.5261910618912253e-17,0.0066694294807688485
2015-12-01,0.7638001844273997,1.2916913632449178e-16,0.2295303860918313,2.5261910618912253e-17,0.0066694294807688485
2015-12-02,0.7638001844273997,1.2916913632449178e-16,0.2295303860918313,2.5261910618912253e-17,0.0066694294807688485
2015-12-03,0.701180535702399,1.2702106077025488e-16,0.2295303860918313,1.0842021724855044e-18,0.06928907820576966
2015-12-04,0.701180535702399,1.2702106077025488e-16,0.2295303860918313,1.0842021724855044e-18,0.06928907820576966
2015-12-07,0.08624897176395305,1.239953619509387e-16,0.5808837811265687,0.2635781689037085,0.06928907820576966
2015-12-08,0.08624897176395302,0.12109405606469033,0.011251172310610657,0.2635781689037085,0.5178276309570375
2015-12-09,0.08624897176395303,0.25364761400171026,0.011251172310610652,0.1310246109666886,0.5178276309570375
2015-12-10,0.08624897176395303,0.25364761400171026,0.011251172310610652,0.1310246109666886,0.5178276309570375
2015-12-11,0.08624897176395303,0.25364761400171026,0.5478723886323204,2.8229331675430944e-17,0.11223102560201635
2015-12-14,0.41329638266026836,5.681219383824043e-17,0.4744725917377153,2.5015787997044547e-17,0.11223102560201634
2015-12-15,0.41329638266026836,5.681219383824043e-17,0.4744725917377153,2.5015787997044547e-17,0.11223102560201634
2015-12-16,0.41329638266026836,5.681219383824043e-17,0.4744725917377153,2.5015787997044547e-17,0.11223102560201634
2015-12-17,1.5806760428879122e-16,0.1795897083877339,0.7081792660102496,0.0,0.11223102560201635
2015-12-18,1.5806760428879122e-16,0.1795897083877339,0.7081792660102496,0.0,0.11223102560201635
